user_id,month,transactions_per_month,logins_per_month,feature_usage_score,is_churned
user_0000,2024-01,24,42,0.2,0
user_0000,2024-01,24,43,0.19,0
user_0000,2024-03,27,53,0.19,0
user_0000,2024-03,24,38,0.18,0
user_0000,2024-04,30,53,0.21,0
user_0000,2024-05,26,40,0.2,0
user_0000,2024-06,21,44,0.21,0
user_0000,2024-07,23,48,0.21,0
user_0000,2024-08,21,46,0.18,0
user_0000,2024-09,22,38,0.18,0
user_0000,2024-10,25,50,0.21,0
user_0000,2024-11,28,43,0.19,0
user_0001,2024-01,16,35,0.76,0
user_0001,2024-01,20,26,0.68,0
user_0001,2024-03,16,35,0.81,0
user_0001,2024-03,19,26,0.67,0
user_0001,2024-04,19,35,0.8,0
user_0001,2024-05,21,32,0.77,0
user_0001,2024-06,2,2,0.0,1
user_0001,2024-07,2,2,0.05,1
user_0001,2024-08,1,2,0.05,1
user_0001,2024-09,0,2,0.06,1
user_0001,2024-10,0,3,0.04,1
user_0001,2024-11,1,1,0.01,1
user_0002,2024-01,26,22,0.9,0
user_0002,2024-01,22,18,0.99,0
user_0002,2024-03,27,19,0.9,0
user_0002,2024-03,2,1,0.08,1
user_0002,2024-04,0,1,0.04,1
user_0002,2024-05,0,1,0.03,1
user_0002,2024-06,1,2,0.07,1
user_0002,2024-07,2,1,0.08,1
user_0002,2024-08,1,1,0.04,1
user_0002,2024-09,2,0,0.05,1
user_0002,2024-10,1,1,0.07,1
user_0002,2024-11,2,0,0.06,1
user_0003,2024-01,4,33,0.52,0
user_0003,2024-01,4,35,0.52,0
user_0003,2024-03,4,44,0.57,0
user_0003,2024-03,5,39,0.61,0
user_0003,2024-04,5,31,0.52,0
user_0003,2024-05,4,37,0.53,0
user_0003,2024-06,5,41,0.53,0
user_0003,2024-07,6,38,0.61,0
user_0003,2024-08,6,37,0.59,0
user_0003,2024-09,6,34,0.61,0
user_0003,2024-10,4,40,0.59,0
user_0003,2024-11,5,42,0.57,0
