user_id,transaction_amount,transaction_time,location,merchant,transaction_type,is_fraud
user_0102,1594.1,2024-09-11 01:18:00,Chicago,Netflix,purchase,0
user_0466,204.45,2024-03-01 18:18:00,Phoenix,Shell,transfer,0
user_0769,1445.39,2024-08-15 03:09:00,Remote,Amazon,purchase,0
user_0313,1051.89,2024-06-28 17:15:00,New York,Starbucks,transfer,0
user_0681,98.1,2024-11-10 03:26:00,Remote,Local Store,transfer,0
user_0875,1030.9,2024-07-08 22:58:00,Phoenix,Walmart,transfer,0
user_0166,31.46,2024-07-07 03:36:00,Houston,Local Store,withdrawal,0
user_0345,199.86,2024-06-23 23:55:00,Houston,Online Service,purchase,0
user_0034,1819.09,2024-11-15 16:17:00,Houston,Amazon,withdrawal,0
user_0105,1137.56,2024-07-07 18:36:00,Los Angeles,Amazon,withdrawal,0
user_0995,1197.81,2024-12-04 19:19:00,Remote,Online Service,purchase,0
user_0724,780.41,2024-11-20 12:01:00,Phoenix,Amazon,purchase,0
user_0379,555.62,2024-09-18 17:36:00,New York,Online Service,purchase,0
user_0647,16.02,2024-04-04 16:10:00,Chicago,Starbucks,transfer,0
user_0378,152.72,2024-07-19 16:38:00,Los Angeles,Starbucks,transfer,0
user_0779,665.14,2024-08-31 22:39:00,Remote,Netflix,transfer,0
user_0725,1774.99,2024-05-20 01:04:00,Chicago,Netflix,transfer,0
user_0768,1444.85,2024-03-23 18:16:00,Los Angeles,Amazon,purchase,0
user_0863,1274.64,2024-05-08 17:00:00,Houston,Local Store,purchase,0
user_0748,1081.98,2024-04-24 12:19:00,Phoenix,Online Service,transfer,0
user_0795,1859.75,2024-02-14 11:24:00,Remote,Starbucks,purchase,0
user_0027,440.79,2024-01-19 00:19:00,Remote,Local Store,transfer,0
user_0347,715.81,2024-09-25 22:21:00,New York,Starbucks,purchase,0
user_0632,1636.94,2024-10-06 15:30:00,Remote,Walmart,purchase,0
user_0224,244.13,2024-04-25 03:58:00,Chicago,Local Store,purchase,0
user_0829,1943.71,2024-05-14 01:55:00,Houston,Local Store,transfer,0
user_0112,300.43,2024-03-05 18:24:00,Chicago,Starbucks,withdrawal,0
user_0565,70.94,2024-10-26 21:19:00,New York,Starbucks,transfer,0
user_0052,981.46,2024-06-12 07:27:00,Remote,Online Service,transfer,0
user_0122,488.11,2024-11-16 04:39:00,Phoenix,Shell,withdrawal,0
user_0906,1633.78,2024-01-16 17:51:00,New York,Starbucks,transfer,0
user_0348,1717.43,2024-04-02 23:23:00,Chicago,Shell,transfer,0
user_0510,456.86,2024-05-29 04:35:00,New York,Starbucks,transfer,0
user_0640,1353.0,2024-11-20 05:12:00,New York,Amazon,transfer,0
user_0297,519.59,2024-08-02 13:47:00,Los Angeles,Starbucks,purchase,0
user_0303,1931.01,2024-03-22 19:16:00,Chicago,Online Service,purchase,0
user_0658,1453.28,2024-09-26 14:15:00,New York,Shell,transfer,0
user_0419,1797.62,2024-12-24 13:49:00,Chicago,Local Store,purchase,0
user_0860,571.42,2024-02-23 19:45:00,Remote,Walmart,purchase,0
user_0160,41.06,2024-11-29 08:47:00,Houston,Online Service,transfer,0
user_0032,1087.37,2024-03-15 14:50:00,Chicago,Local Store,transfer,0
user_0669,1946.16,2024-04-03 09:48:00,Chicago,Local Store,transfer,0
